ipOwner,ipOwner_type,ipOwner_scale,ipOwner_commercial,ipOwner_country,ipOwner_region,ipOwner_country_match,ipOwner_abuse_reports,ipOwner_blacklist_flag,ipOwner_vpn_proxy_flag,ipOwner_tor_flag,ipOwner_asn,ipOwner_as_size,ipOwner_as_age,ipOwner_mobile_flag
PPPoE XDSL Links in Komsomolsk-at-Amur Town ATS-530 Node,корпоративная сеть,локальный,да,Россия,Хабаровский край,да,5,нет,нет,нет,AS12345,256,10,нет
Vega-Service LLC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
ASTEIS-TELECOM Ltd.,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
LLC Grazhdan-Servis Russia Izhevsk,корпоративная сеть,локальный,да,Россия,Удмуртская Республика,да,0,нет,нет,нет,AS12345,256,5,нет
Teleset-Servis Ltd.,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Far East Telecommunications Company,ISP,национальный,да,Россия,Дальний Восток,да,5,нет,нет,нет,12345,1000,10,нет
WorldStream LATAM B.V,дата-центр,международный,да,Нидерланды,Не указано,нет,0,нет,да,нет,AS202420,1000,5,нет
Cosmos TV JLLC,корпоративная сеть,локальный,да,Беларусь,Минск,да,0,нет,нет,нет,AS202020,256,5,нет
SIA Veesp,дата-центр,международный,да,Латвия,Рига,нет,5,нет,да,нет,20473,256,10,нет
Contabo GmbH,дата-центр,международный,да,Германия,Бавария,да,5,нет,нет,нет,AS51167,1024,8,нет
LC Comlink,ISP,национальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Emirates Integrated Telecommunications Company PJSC,корпоративная сеть,национальный,да,ОАЭ,Дубай,да,5,нет,нет,нет,AS24665,256,15,да
OOO Spetstelecom-Yug,корпоративная сеть,локальный,да,Россия,Южный федеральный округ,да,5,нет,нет,нет,AS12345,256,10,нет
PE Tsibrankov Konstantin Igorevich,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
Mobile Trend Ltd,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
OOO PKF Delta Telekom,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
Aliev Magomed Kadievich,корпоративная сеть,локальный,нет,Россия,Дагестан,да,0,нет,нет,нет,неизвестен,0,0,нет
Siberian Telecommunications Ltd.,корпоративная сеть,локальный,да,Россия,Сибирский федеральный округ,да,5,нет,нет,нет,AS12345,256,10,нет
Linkfor LLC,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
Limited Company Svyazservice,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Joint Stock Company Smartkom,корпоративная сеть,национальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
RUSELITTORG Ltd.,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
Sergiev-Posad PPPoE Pool,ISP,локальный,да,Россия,Московская область,да,5,нет,нет,нет,AS12345,256,10,нет
Limited Liability Company Irtelcom,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
CATV System Edver Ltd.,корпоративная сеть,локальный,да,Великобритания,Эссекс,да,5,нет,нет,нет,AS12345,256,10,нет
Zelenaya Tomsk Network,корпоративная сеть,локальный,нет,Россия,Томская область,да,0,нет,нет,нет,AS12345,256,5,нет
GorPTUs OOO,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
BlueVPS Ou,дата-центр,международный,да,Канада,Онтарио,нет,5,нет,да,нет,AS202202,256,2,нет
Intercity Ltd.,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Unet Communication LLC,корпоративная сеть,национальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
Computer Information Technology Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
Vidikon-K CJSC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Entertainment Platform Disland. Coallocation. Vladivostok,корпоративная сеть,локальный,да,Россия,Приморский край,да,5,нет,нет,нет,12345,256,10,нет
AS8997 MNT,дата-центр,международный,да,США,Калифорния,нет,10,нет,да,нет,AS8997,512,20,нет
OOO Stims,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
Account Style SPB Ltd,корпоративная сеть,локальный,да,Россия,Санкт-Петербург,да,0,нет,нет,нет,AS12345,256,5,нет
Clouds-NN LLC,облако,международный,TRUE,США,Калифорния,FALSE,5,FALSE,TRUE,FALSE,AS12345,1000,10,FALSE
Regional TeleSystem Ltd,ISP,локальный,да,Россия,Центральный,да,5,нет,нет,нет,AS12345,256,10,нет
PE Ahmedov Alil Aliomarovich,корпоративная сеть,национальный,да,Азербайджан,Баку,да,5,нет,нет,нет,AS12345,256,10,нет
Stolica Svyazi Ltd.,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
RADIO-FSU/RADIO-MSU NETWORK Ltd,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Arkhangelsk Television Company,корпоративная сеть,локальный,да,Россия,Архангельская область,да,0,нет,нет,нет,12345,256,10,нет
LLC Company Interlan Communications,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,AS12345,256,10,нет
ARD Teleport Ltd.,дата-центр,международный,да,Великобритания,Лондон,нет,5,нет,да,нет,AS12345,256,10,нет
Smolensk Branch of the JSC Centertelecom,корпоративная сеть,локальный,да,Россия,Смоленская область,да,0,нет,нет,нет,12345,256,10,нет
Nizhnevolzhskie Telecommunication Networks Real LLC,ISP,локальный,да,Россия,Приволжский,да,5,нет,нет,нет,AS12345,256,10,нет
OOO Kompanija Tochka Opori,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
VDS-TELECOM LLC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Firma Sotrudnik Plus Ltd.,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
OOO Sestroretskoe Cable Television,корпоративная сеть,локальный,да,Россия,Санкт-Петербург,да,5,нет,нет,нет,AS12345,256,10,нет
Telecom Plus Ltd.,корпоративная сеть,национальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
Pozitiv Telecom Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
CJSC Comstar-Regions in Ivanovo,ISP,локальный,да,Россия,Ивановская область,да,5,нет,нет,нет,AS12345,256,10,нет
